Common_Name,count
Northern Cardinal,530
Indigo Bunting,461
Field Sparrow,456
Chipping Sparrow,353
Carolina Wren,347
Grasshopper Sparrow,346
American Goldfinch,310
Red-winged Blackbird,273
Song Sparrow,222
Mourning Dove,197
Brown-headed Cowbird,193
Eastern Tufted Titmouse,179
American Robin,176
Eastern Meadowlark,170
Eastern Bluebird,167
Eastern Towhee,159
American Crow,137
Barn Swallow,130
Northern Mockingbird,130
Blue Jay,119
Common Grackle,107
Common Yellowthroat,101
Blue-gray Gnatcatcher,94
Carolina Chickadee,93
Red-bellied Woodpecker,91
Eastern Wood-Pewee,88
European Starling,81
Gray Catbird,73
Great Crested Flycatcher,68
Cedar Waxwing,62
House Wren,53
Downy Woodpecker,52
Eastern Kingbird,50
Tree Swallow,49
Red-eyed Vireo,44
Yellow-billed Cuckoo,43
Turkey Vulture,41
Baltimore Oriole,41
Warbling Vireo,33
Fish Crow,28
Acadian Flycatcher,26
White-breasted Nuthatch,25
Northern Rough-winged Swallow,20
House Finch,19
Wood Thrush,19
Horned Lark,18
Prairie Warbler,18
Scarlet Tanager,17
Unidentified Crow,16
Brown Thrasher,15
Eastern Phoebe,15
Blue Grosbeak,15
Orchard Oriole,14
Chimney Swift,13
Blackpoll Warbler,13
Unidentified Chickadee,13
Killdeer,13
Northern Flicker,13
Canada Goose,12
Hairy Woodpecker,12
Pileated Woodpecker,12
Red-shouldered Hawk,10
Northern Parula,9
Great Blue Heron,9
Pine Warbler,8
House Sparrow,7
American Redstart,7
American Kestrel,7
Yellow Warbler,6
Bobolink,6
Red-tailed Hawk,6
Unidentified Swallow,5
Bald Eagle,5
Yellow-breasted Chat,5
Purple Martin,5
Rock Dove,4
Yellow-throated Vireo,3
Black Vulture,3
Vesper Sparrow,2
Wild Turkey,2
Ruby-throated Hummingbird,2
Cooper's Hawk,2
Willow Flycatcher,2
Veery,2
Barred Owl,2
Wood Duck,1
White-eyed Vireo,1
Swainson's Thrush,1
Summer Tanager,1
Northwestern Crow,1
Ovenbird,1
Chinese Pond-Heron,1
Savannah Sparrow,1
Magnolia Warbler,1
Chestnut-sided Warbler,1
Kentucky Warbler,1
Belted Kingfisher,1
Unidentified Warbler,1
Unidentified Flycatcher,1
Northern Waterthrush,1
Black-throated Green Warbler,1
Black-and-white Warbler,1
White-throated Sparrow,1
Swamp Sparrow,1
Bay-breasted Warbler,1
Cape May Warbler,1
Least Flycatcher,1
